Date,Stock_A,Stock_B,Stock_C,Stock_D,Stock_E,Stock_F,Stock_G,Stock_H,Stock_I,Stock_J
08/09/2020,112.44,92.58,125.8,102.09,103.54,85.55,104.92,112.54,86.95,88.17
09/09/2020,111.49,92.21,127.41,102.01,102.1,84.96,104.73,111.28,87.67,88.74
10/09/2020,111.77,93.45,127.02,102.48,102.79,84.64,103.06,112.14,87,88.68
11/09/2020,112.17,91.98,126.07,101.13,103.83,85.19,101.85,114.52,87.79,88.61
14/09/2020,113.07,92.84,125.12,100.19,105.14,85.05,102.36,115.44,88.94,88.54
15/09/2020,113.89,93.13,124.08,100.51,104.01,84.1,105,115.62,88.85,88.47
16/09/2020,114.75,90.66,124.96,98.58,103.3,83.49,105.26,115.86,88.5,87.16
17/09/2020,116.27,92.38,124.18,99.57,104.15,82.78,105.62,115.43,86.56,88.16
18/09/2020,115.91,92.85,124.63,98.86,102.56,81.26,105.08,116.12,84.71,87.16
21/09/2020,116.35,92.19,124.29,100.69,103.71,80.76,105.61,118.19,85.9,88.05
22/09/2020,115.54,92.27,122.77,100.45,105.62,80.89,105.25,117.39,84.53,89.94
23/09/2020,115.69,92.87,121.22,100.86,107.55,80.83,103.71,116.4,84.81,89.14
24/09/2020,115.59,90.39,121.63,100.69,106.11,81.82,102.71,115.62,83.51,88.95
25/09/2020,115.3,90.97,122.2,99.78,108.11,81.13,104.25,115.15,81.52,89.68
28/09/2020,113.41,91.25,122.88,99,107.04,80.62,102.82,115.36,81.16,90.18
29/09/2020,114.38,91.65,121.02,96.91,107.11,80.4,103.54,116.91,83.2,90.84
30/09/2020,116.14,91.73,121.61,95.84,106.15,80.49,103.61,116.16,83.59,92.96
01/10/2020,117.32,91.61,123.4,96.55,106.81,80.89,104.98,116.95,83.87,92.04
02/10/2020,117.23,92.77,122.74,95.06,108.01,81.23,104.92,117.16,85.06,91.74
05/10/2020,116.9,91.44,122.43,94.62,107.94,81.12,103.56,117.43,84.42,91.54
06/10/2020,116.34,92.64,121.8,94.25,110.34,80.77,103.21,116.36,83.71,90.18
07/10/2020,116.49,92.55,122.63,95.95,109.82,79.97,104.07,116.39,83.85,88.78
08/10/2020,117.63,92.96,123.32,95.59,109.42,80.92,104.29,117.63,85.24,90.49
09/10/2020,117.98,92.69,123.81,96.6,109.07,80.14,103.44,116.65,83.99,90.56
12/10/2020,119.54,93.16,123.34,98.27,108.43,79.86,103.52,116.39,84.86,90.07
13/10/2020,117.67,93.4,123.13,99.53,109.6,80.73,104.25,117.63,84.2,91.92
14/10/2020,117.61,91.82,123.6,96.91,110.81,80.98,103.37,118.17,83.29,88.11
15/10/2020,117.52,91.3,124.17,97.47,110.44,79.73,104.72,117.69,83.63,87.91
16/10/2020,116.35,91.63,123.89,98.11,110.3,79.67,105.88,118.29,82.29,88.53
19/10/2020,116.95,92.93,124.72,97.77,110.5,80.98,103.68,117.99,83.47,89.32
20/10/2020,115.49,92.57,123.68,98.99,113.43,82.34,103.6,117.05,84.93,88.06
21/10/2020,114.98,91.86,125.27,99.22,112.84,81.3,102.58,116.15,84.65,89.76
22/10/2020,114.89,92.17,124.96,99.08,112.45,79.39,102.42,116.12,85.42,90.79
23/10/2020,114.47,92.48,125.97,98.46,113.07,80.44,103.34,116.77,84.86,90.9
26/10/2020,114.24,92.78,124.09,97.04,112.9,80.26,103.5,116.63,84.24,91.02
27/10/2020,114.1,92.89,122.92,97.25,112.41,80.16,104.68,117.67,84.55,91.21
28/10/2020,112.53,93.15,123.14,96.61,113.36,80.19,105.21,116.98,86.74,91.72
29/10/2020,112.81,92.08,123.15,94.81,111.87,81.38,103.38,115.57,87.75,91.77
30/10/2020,111.26,92.32,123.6,95.06,112.01,81.93,103.68,116.06,88.08,92.09
02/11/2020,111.74,94.26,124.51,93.22,111.33,82.8,103.3,116.81,87.58,91.66
03/11/2020,111.96,93.65,124.83,95.02,111.24,82.35,102.44,116.01,87.86,92.3
04/11/2020,113.3,95.32,123.13,94.12,112.05,81.58,102.44,117.35,86.75,91.19
05/11/2020,116.73,95.26,122.27,92.93,112.46,81.74,102.48,117.18,85.37,90.96
06/11/2020,116.34,96.38,121.21,92.19,112.64,81.97,101.16,116.99,85.87,91.88
09/11/2020,116.34,96.56,119.93,92.34,112.07,82.76,100.42,116.53,85.9,90.57
10/11/2020,117.08,97.38,121.41,93.25,112.7,80.58,100.64,115.04,84.81,91.24
11/11/2020,115.66,95.96,120.43,95.24,111.43,80.34,100.94,114.26,85.42,90.65
12/11/2020,115.2,97.64,119.32,96.54,112.24,78.89,101.58,113.04,86.63,91.42
13/11/2020,114.17,96.52,119.4,97.44,111.71,77.79,102.15,113.99,85.25,90.5
16/11/2020,113.67,98.3,119.29,99.62,109.12,78.65,102.29,114.73,84.85,90.47
17/11/2020,114.59,97.05,118.06,100.49,110.65,78.15,103.32,113.93,85.89,89.15
18/11/2020,113.57,95.84,117.99,97.05,109.86,77.5,105.53,112.37,84.3,88.28
19/11/2020,112.38,95.44,118.33,97.7,108.93,78.92,106.66,112.29,84.09,87.67
20/11/2020,113.54,97.25,118.55,97.71,109.41,79.12,107.09,113.53,85.35,87.4
23/11/2020,113.78,96.86,119.09,98.39,109.5,80.27,106.57,115.11,84.8,85.86
24/11/2020,115.95,95.7,118.54,97.6,111.13,80.76,107.86,115.94,84.79,86.62
25/11/2020,115.94,95.5,119.86,99.01,110.53,78.97,105.71,115.98,84.58,87.95
26/11/2020,116.56,95.25,120.25,99.59,111.4,78.42,105.44,115.15,82.11,88.5
27/11/2020,115.85,96.24,119.63,98.64,112.72,78.15,105.61,115.17,80.94,88.32
30/11/2020,115.69,96.06,118.8,95.97,111.7,76.98,106.97,114.64,81.59,88.65
01/12/2020,113.87,97.41,119.81,95.36,111.48,77.78,106.36,115.24,81.44,89.85
02/12/2020,111.84,99.08,119.53,96.52,110.5,77.08,105.9,115.77,81.84,91.52
03/12/2020,109.92,97.82,119.68,96.04,111.39,75.8,106.65,117.49,81.99,93.06
04/12/2020,110.36,97.66,119.24,97.04,110.98,75.79,105.86,116.79,82.48,93.89
07/12/2020,110.32,97.3,120.18,97,112.05,76.06,105.97,116,82.15,93.46
08/12/2020,112.47,97.8,119.55,97.58,111.99,75.18,106.06,115.47,81.15,92.55
09/12/2020,112.69,97.78,120.37,97.02,112.46,74.54,106.78,113.77,80.45,92.37
10/12/2020,113.64,98.1,119.99,95.65,113.77,75.61,107.79,112.64,78.43,91.48
11/12/2020,112.93,99.96,120.39,95.61,113.92,75.26,108.04,113.79,78.01,93.47
14/12/2020,113.83,99.1,120.89,95.79,114.74,74.55,107.86,113.52,80.18,92.88
15/12/2020,113.59,99.9,121.53,95.39,115.26,74.68,108.15,115.35,79.39,91.74
16/12/2020,113.05,101.03,120.55,95.32,116.41,74.32,109.3,117.36,79.43,91.89
17/12/2020,112.83,101.15,121.21,94.71,117.36,73.95,108.64,115.89,78.4,92.79
18/12/2020,112.28,104.21,120.45,95.51,118.36,73.8,110.4,116.46,79.07,92.64
21/12/2020,112.04,104.33,121.11,93.43,117.39,73.66,112.1,116.55,79.83,92.1
22/12/2020,111.89,104.99,121.28,93.83,118.32,74.44,112.65,116.88,79.98,90.02
23/12/2020,111.93,103.9,119.85,94.38,117.82,75.22,114.87,116.28,81.14,89.94
24/12/2020,112.66,103.57,119.88,95.28,118.87,75.18,114.68,116.74,81.96,88.05
25/12/2020,111.49,104.49,120.21,94.38,119.35,77.29,114.38,118.33,81.56,88.3
28/12/2020,111.49,103.97,120.33,95,119.41,77.31,113.44,116.9,81.04,89.02
29/12/2020,110.86,103.81,119.15,95.77,119.29,76.32,113.76,116.13,81.68,87.61
30/12/2020,110.86,104.06,120.77,94.8,119.25,76.4,114.39,114.81,80.92,86.63
31/12/2020,110.36,102.99,120.71,94.48,118.46,76.63,113.92,116.22,81.85,86.14
